,Additive + MinMax,Additive + Standarization,Additive + Target,Geometric + MinMax,Geometric + Standarization,Geometric + Target,Harmonic + MinMax,Harmonic + Standarization,Harmonic + Target
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,0.9844176949548251,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,0.9995140902548271,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
